Cast	/job:localhost/replica:0/task:0/device:GPU:0	1	38	41	['(100x100x3)']	[GPU_0_bfc 0.1MB 0.1MB] Cast = Cast(DecodeJpeg/_1)
Cast:Cast	/device:GPU:0/stream:13	0	1	1	['(no output)']	
Cast:Cast	/device:GPU:0/stream:all	0	1	1	['(no output)']	
DecodeJpeg	/job:localhost/replica:0/task:0/device:CPU:0	0	312	315	['(uint8 100x100x3)']	DecodeJpeg = DecodeJpeg(_arg_DecodeJpeg/contents_0_0)
ExpandDims	/job:localhost/replica:0/task:0/device:GPU:0	0	4	6	['(1x100x100x3)']	ExpandDims = ExpandDims(Cast, ExpandDims/dim)
ExpandDims/dim	/job:localhost/replica:0/task:0/device:GPU:0	0	1	3	['(int32 1x1)']	ExpandDims/dim = Const()
Mul	/job:localhost/replica:0/task:0/device:GPU:0	0	15	17	['(1x299x299x3)']	Mul = Mul(Sub, Mul/y)
Mul/y	/job:localhost/replica:0/task:0/device:GPU:0	0	2	3	['(1x1)']	Mul/y = Const()
Mul:Mul	/device:GPU:0/stream:13	0	4	4	['(no output)']	
Mul:Mul	/device:GPU:0/stream:all	0	4	4	['(no output)']	
ResizeBilinear	/job:localhost/replica:0/task:0/device:GPU:0	0	22	25	['(1x299x299x3)']	[GPU_0_bfc 1.0MB 1.0MB] ResizeBilinear = ResizeBilinear(ExpandDims, ResizeBilinear/size)
ResizeBilinear/size	/job:localhost/replica:0/task:0/device:GPU:0	0	1	3	['(int32 2x1)']	ResizeBilinear/size = Const()
ResizeBilinear:ResizeBilinear	/device:GPU:0/stream:13	0	27	27	['(no output)']	
ResizeBilinear:ResizeBilinear	/device:GPU:0/stream:all	0	27	27	['(no output)']	
Sub	/job:localhost/replica:0/task:0/device:GPU:0	1	21	36	['(1x299x299x3)']	Sub = Sub(ResizeBilinear, Sub/y)
Sub/y	/job:localhost/replica:0/task:0/device:GPU:0	1	2	3	['(1x1)']	Sub/y = Const()
Sub:Sub	/device:GPU:0/stream:13	0	10	10	['(no output)']	
Sub:Sub	/device:GPU:0/stream:all	0	10	10	['(no output)']	
_SOURCE	/job:localhost/replica:0/task:0/device:CPU:0	1	1	5	['(no output info)']	_SOURCE = NoOp()
_SOURCE	/job:localhost/replica:0/task:0/device:GPU:0	3	7	126	['(no output info)']	_SOURCE = NoOp()
_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi	/device:GPU:0/stream:13	0	1	1	['(no output)']	
_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi	/device:GPU:0/stream:13	0	1	1	['(no output)']	
_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi	/device:GPU:0/stream:13	0	2	2	['(no output)']	
